,a,b,c
957,332,294,5
958,136,9,5
959,445,1,3
960,903,651,5
961,738,1016,3
962,532,431,5
963,846,102,2
964,94,248,4
965,313,631,2
966,59,1111,5
967,479,294,3
968,887,421,5
969,283,91,5
970,601,196,3
971,13,846,2
972,126,681,5
973,435,132,3
974,809,272,5
975,863,895,5
976,395,50,5
977,22,996,1
978,188,468,4
979,430,42,3
980,559,199,5
981,227,294,3
982,340,15,5
983,674,763,5
984,345,568,4
985,416,727,5
986,524,478,3
987,808,313,5
988,896,184,3
989,26,282,4
990,796,778,4
991,28,444,3
992,833,824,1
993,453,717,2
994,805,212,3
995,760,776,5
996,572,289,3
997,437,200,4
998,519,874,5
999,97,135,5
1000,316,487,3
1001,664,132,4
1002,661,194,5
1003,466,308,1
1004,943,186,5
1005,878,213,3
1006,883,56,5
1007,733,274,3
1008,454,285,2
1009,846,172,4
1010,735,676,3
1011,417,190,5
1012,244,833,3
1013,170,876,3
1014,500,235,5
1015,749,1244,3
1016,498,486,2
1017,13,274,3
1018,343,527,5
1019,804,483,5
1020,456,369,3
1021,650,507,4
1022,181,1132,1
1023,916,80,3
1024,495,944,5
1025,763,588,4
1026,778,180,4
1027,686,11,4
1028,454,73,3
1029,587,873,3
1030,561,780,1
1031,303,569,3
1032,144,478,4
1033,453,364,3
1034,860,302,4
1035,614,281,3
1036,432,871,2
1037,881,620,2
1038,379,712,3
1039,305,173,3
1040,782,1417,2
1041,676,948,1
1042,940,174,4
1043,758,977,2
1044,886,1209,2
1045,871,1434,3
1046,7,474,5
1047,339,506,4
1048,747,265,4
1049,452,187,3
1050,537,123,2
1051,773,260,2
1052,189,952,5
1053,25,143,3
1054,334,131,4
1055,431,879,3
1056,177,324,4
1057,654,1014,3
1058,659,712,3
1059,396,546,4
1060,751,310,3
1061,698,174,3
1062,94,1007,4
1063,704,735,4
1064,276,120,2
1065,594,15,4
1066,405,860,1
1067,299,169,4
1068,774,94,2
1069,543,474,5
1070,746,210,5
1071,472,739,5
1072,324,268,4
1073,197,538,3
1074,758,159,3
1075,840,705,4
1076,492,1098,4
1077,665,328,4
1078,538,710,3
1079,91,176,5
1080,600,1110,3
1081,379,372,4
1082,527,433,4
1083,487,833,4
1084,418,328,1
1085,460,744,3
1086,21,669,1
1087,314,393,4
1088,669,257,3
1089,321,435,5
1090,284,289,3
1091,233,735,5
1092,588,471,5
1093,659,469,4
1094,846,768,4
1095,385,674,3
1096,498,237,2
1097,727,1657,3
1098,660,122,1
1099,32,313,4
1100,806,2,3
1101,712,395,4
1102,380,265,3
1103,879,118,3
1104,401,404,2
1105,880,1217,3
1106,864,710,2
1107,938,181,5
1108,223,333,4
1109,80,213,3
1110,479,215,3
1111,711,169,5
1112,82,895,1
1113,66,24,3
1114,472,548,1
1115,345,215,4
1116,753,242,4
1117,806,324,2
1118,896,642,2
1119,649,15,4
1120,354,287,3
1121,100,879,4
1122,711,313,4
1123,490,847,3
1124,43,8,4
1125,782,1537,3
1126,109,231,3
1127,455,511,5
1128,402,137,4
1129,757,651,4
1130,882,211,4
1131,886,801,3
1132,65,65,3
1133,653,576,1
1134,618,895,3
1135,503,275,5
1136,360,515,4
1137,792,151,3
1138,669,97,4
1139,740,302,5
1140,152,783,4
1141,449,337,4
1142,355,264,4
1143,339,655,4
1144,880,881,4
1145,286,906,5
1146,892,481,5
1147,913,172,5
1148,606,307,4
1149,454,204,4
1150,131,251,5
1151,244,528,3
1152,684,1301,3
1153,64,182,4
1154,887,318,5
1155,397,529,4
1156,269,89,2
1157,472,411,4
1158,456,544,3
1159,308,513,3
1160,181,1341,1
1161,580,825,4
1162,815,50,5
1163,545,554,3
1164,123,514,5
1165,896,872,3
1166,70,15,3
1167,757,207,2
1168,536,183,3
1169,870,550,3
1170,743,300,4
1171,28,567,4
1172,755,301,3
1173,342,1167,1
1174,178,484,4
1175,792,125,3
1176,687,313,5
1177,932,205,5
1178,201,93,5
1179,694,127,5
1180,535,32,3
1181,519,991,2
1182,655,1131,5
1183,586,393,3
1184,23,780,1
1185,761,117,5
1186,339,203,4
1187,747,70,4
1188,378,559,4
1189,452,874,2
1190,891,282,5
1191,537,644,5
1192,457,744,3
1193,99,1047,4
1194,334,338,1
1195,537,1245,3
1196,463,362,1
1197,410,354,3
1198,675,306,5
1199,548,12,5
1200,417,518,5
1201,624,410,4
1202,788,627,4
1203,435,717,3
1204,811,690,5
1205,59,73,4
1206,405,45,1
1207,843,667,2
1208,559,652,4
1209,731,168,1
1210,665,274,3
1211,472,1074,5
1212,15,930,2
1213,896,468,2
1214,667,527,4
1215,833,430,4
1216,1,240,3
1217,109,1135,4
1218,370,433,3
1219,561,24,3
1220,524,228,3
1221,817,118,3
1222,600,578,2
1223,395,472,3
1224,531,892,3
1225,487,566,4
1226,185,1020,4
1227,659,179,1
1228,314,216,3
1229,298,549,4
1230,171,305,2
1231,682,81,3
1232,634,929,3
1233,104,748,2
1234,450,488,4
1235,233,8,3
1236,159,272,5
1237,653,659,1
1238,399,289,4
1239,717,358,2
1240,537,192,4
1241,295,208,5
1242,863,307,5
1243,943,1188,3
1244,101,1,3
1245,673,896,5
1246,357,407,3
1247,606,760,3
1248,894,326,3
1249,417,66,3
1250,615,527,4
1251,608,187,4
1252,493,343,3
1253,864,789,4
1254,403,147,5
1255,495,505,5
1256,557,270,3
1257,389,428,3
1258,588,144,3
1259,105,343,2
1260,693,382,4
1261,566,228,2
1262,234,629,4
1263,91,132,3
1264,474,4,5
1265,437,432,3
1266,881,127,4
1267,497,237,3
1268,884,463,5
1269,741,66,3
1270,688,338,5
1271,393,58,3
1272,501,1081,3
1273,506,661,5
1274,786,71,5
1275,312,70,5
1276,42,467,3
1277,298,121,4
1278,385,865,4
1279,669,150,3
1280,49,1077,4
1281,601,431,4
1282,798,810,3
1283,450,940,2
1284,639,792,2
1285,436,239,3
1286,627,276,2
1287,459,134,3
1288,521,135,4
1289,99,367,4
1290,62,97,2
1291,445,871,2
1292,892,176,5
1293,161,272,5
1294,401,257,2
1295,57,871,3
1296,645,46,5
1297,313,461,3
1298,894,9,4
1299,479,88,4
1300,552,322,3
1301,854,55,4
1302,527,14,2
1303,436,367,4
1304,218,466,4
1305,181,718,1
1306,642,1136,4
1307,861,1148,3
1308,739,172,4
1309,621,472,3
1310,887,99,5
1311,905,258,3
1312,264,150,5
1313,913,423,3
1314,303,95,5
1315,160,455,4
1316,236,210,2
1317,56,280,4
1318,130,739,5
1319,95,153,5
1320,886,188,4
1321,833,32,5
1322,385,959,3
1323,374,64,5
1324,526,125,2
1325,543,919,2
1326,178,215,5
1327,30,780,4
1328,344,19,4
1329,825,307,4
1330,201,654,3
1331,527,50,4
1332,457,276,4
1333,293,230,2
1334,60,215,4
1335,226,203,5
1336,874,751,3
1337,468,124,5
1338,567,640,4
1339,235,923,4
1340,622,597,5
1341,553,50,4
1342,516,194,4
1343,899,218,4
1344,629,327,3
1345,645,482,4
1346,297,268,4
1347,636,222,5
1348,901,142,4
1349,871,270,5
1350,502,343,5
1351,486,872,5
1352,527,962,3
1353,417,855,2
1354,534,325,4
1355,73,213,4
1356,435,410,5
1357,754,276,5
1358,919,116,3
1359,188,226,3
1360,706,118,3
1361,504,183,3
1362,524,1456,3
1363,912,238,4
1364,896,739,2
1365,568,512,1
1366,734,173,3
1367,280,584,4
1368,26,116,2
1369,409,100,5
1370,521,77,3
1371,690,47,1
1372,653,185,2
1373,178,283,5
1374,607,211,5
1375,201,202,3
1376,639,692,3
1377,535,181,4
1378,934,237,4
1379,558,14,4
1380,7,380,4
1381,724,242,1
1382,943,840,4
1383,622,62,4
1384,747,179,5
1385,286,461,2
1386,567,836,3
1387,666,959,4
1388,733,124,5
1389,92,100,5
1390,881,217,3
1391,537,273,3
1392,385,12,3
1393,295,513,4
1394,666,183,5
1395,650,528,3
1396,408,347,3
1397,906,742,3
1398,48,194,4
1399,871,210,5
1400,427,1296,5
1401,585,61,4
1402,548,183,5
1403,343,277,4
1404,788,646,3
1405,880,623,4
1406,864,100,5
1407,479,472,1
1408,594,181,3
1409,889,919,5
1410,428,245,5
1411,746,8,4
1412,504,371,3
1413,656,272,3
1414,472,1469,4
1415,181,475,2
1416,474,343,3
1417,1,77,4
1418,374,38,4
1419,243,14,3
1420,897,411,5
1421,462,300,5
1422,907,97,5
1423,33,348,4
1424,487,939,3
1425,894,536,5
1426,58,249,4
1427,314,367,4
1428,311,724,4
1429,480,603,4
1430,464,176,4
1431,7,192,4
1432,682,472,3
1433,450,383,2
1434,821,284,3
1435,180,660,5
1436,346,188,4
1437,733,544,1
1438,145,1087,1
1439,914,88,2
1440,332,895,5
1441,295,69,5
1442,498,83,3
1443,318,318,5
1444,85,529,3
1445,320,1059,4
1446,933,227,1
1447,904,280,5
1448,454,686,2
1449,608,310,1
1450,493,204,5
1451,534,546,4
1452,848,485,5
1453,276,790,3
1454,770,937,4
1455,647,257,2
1456,426,135,3
1457,209,285,5
1458,796,64,4
1459,880,177,5
1460,650,56,3
1461,488,468,5
1462,345,365,2
1463,255,982,2
1464,790,1063,5
1465,933,70,2
1466,755,310,4
1467,405,1035,1
1468,665,546,2
1469,919,304,4
1470,354,485,4
1471,831,117,3
1472,137,89,5
1473,764,56,4
1474,160,150,4
1475,893,412,3
1476,363,625,4
1477,367,564,2
1478,455,161,4
1479,863,292,2
1480,275,199,4
1481,773,204,3
1482,367,565,2
1483,425,180,4
1484,311,622,3
1485,655,271,3
1486,851,1016,5
1487,321,133,5
1488,708,535,2
1489,503,181,5
1490,565,170,5
1491,344,290,2
1492,629,1109,4
1493,694,582,4
1494,296,221,5
1495,933,441,2
1496,496,173,5
1497,639,471,2
1498,521,12,5
1499,666,1071,3
1500,618,1032,2
1501,890,501,4
1502,429,663,4
1503,673,345,4
1504,378,193,4
1505,530,322,4
1506,749,78,3
1507,786,216,4
1508,532,404,5
1509,184,378,4
1510,592,151,4
1511,912,418,4
1512,387,191,4
1513,790,546,1
1514,299,603,3
1515,601,239,3
1516,730,269,5
1517,126,690,3
1518,903,223,5
1519,389,604,4
1520,843,102,2
1521,181,595,2
1522,38,452,5
1523,919,325,4
1524,481,313,4
1525,921,1028,4
1526,815,483,5
1527,691,500,3
1528,748,153,4
1529,896,1074,2
1530,144,823,3
1531,400,321,4
1532,749,71,4
1533,607,86,4
1534,312,525,5
1535,296,114,5
1536,640,186,5
1537,577,7,2
1538,886,11,5
1539,335,307,5
1540,796,807,2
1541,655,337,2
1542,321,705,3
1543,305,708,3
1544,268,456,2
1545,679,484,4
1546,397,172,5
1547,312,1192,3
1548,457,385,4
1549,865,268,4
1550,805,582,3
1551,943,161,4
1552,244,581,4
1553,749,658,4
1554,710,277,4
1555,145,300,3
1556,454,310,4
1557,862,435,5
1558,184,694,5
1559,882,235,3
1560,334,744,3
1561,535,319,5
1562,373,142,3
1563,525,1,4
1564,230,265,5
1565,638,410,4
1566,912,194,4
1567,659,1267,3
1568,417,748,4
1569,804,456,3
1570,608,729,4
1571,389,642,4
1572,181,1047,2
1573,610,427,5
1574,59,147,5
1575,515,362,4
1576,926,292,3
1577,301,50,5
1578,504,66,4
1579,472,1228,4
1580,637,149,2
1581,474,614,4
1582,236,521,3
1583,183,50,2
1584,476,56,4
1585,222,588,4
1586,206,337,2
1587,577,579,4
1588,882,476,3
1589,796,747,4
1590,49,42,4
1591,547,311,2
1592,766,393,3
1593,891,459,5
1594,932,507,5
1595,778,780,3
1596,853,328,3
1597,443,286,5
1598,586,29,5
1599,708,258,5
1600,286,184,3
1601,452,64,4
1602,551,756,1
1603,747,153,4
1604,537,414,4
1605,756,22,3
1606,498,258,2
1607,334,164,3
1608,751,591,1
1609,615,237,4
1610,840,675,4
1611,320,1522,3
1612,394,89,5
1613,776,200,4
1614,490,302,4
1615,57,257,5
1616,207,1331,3
1617,537,210,3
1618,6,186,4
1619,710,294,3
1620,465,100,3
1621,449,639,5
1622,211,520,4
1623,195,143,5
1624,624,1067,4
1625,361,155,3
1626,896,186,4
1627,474,474,5
1628,437,214,4
1629,838,83,5
1630,718,121,4
1631,883,781,3
1632,503,702,2
1633,524,402,2
1634,907,282,4
1635,894,330,3
1636,893,237,4
1637,655,1380,4
1638,381,313,2
1639,328,699,4
1640,902,228,3
1641,593,241,5
1642,132,523,4
1643,849,15,5
1644,746,506,3
1645,853,286,3
1646,542,58,4
1647,279,1072,4
1648,655,1017,3
1649,473,275,5
