student,test,rating
714,reasoning,4
714,emotion,1
717,response_behaviour,4
717,reading,4
717,working_memory,5
717,processing_speed,1
717,math_fluency,3
717,long_term_memory,5
717,reasoning,3
717,calculus,3
718,response_behaviour,4
718,reading,2
718,working_memory,5
718,processing_speed,2
718,math_fluency,3
718,long_term_memory,5
718,calculus,3
718,emotion,1
721,response_behaviour,3
721,reading,2
721,working_memory,5
721,processing_speed,2
721,long_term_memory,5
721,reasoning,4
721,calculus,5
721,emotion,1
723,response_behaviour,4
723,reading,4
723,working_memory,5
723,processing_speed,4
723,math_fluency,3
723,long_term_memory,5
723,reasoning,3
723,calculus,3
724,response_behaviour,4
724,reading,1
724,working_memory,5
724,processing_speed,1
724,long_term_memory,5
724,reasoning,1
724,calculus,3
724,emotion,1
725,response_behaviour,3
725,reading,4
725,working_memory,5
725,processing_speed,5
725,math_fluency,5
725,long_term_memory,5
725,calculus,5
725,emotion,3
727,response_behaviour,3
727,reading,5
727,working_memory,5
727,processing_speed,3
727,math_fluency,5
727,reasoning,1
727,calculus,5
727,emotion,2
728,response_behaviour,4
728,reading,2
728,working_memory,5
728,processing_speed,3
728,long_term_memory,5
728,reasoning,4
728,calculus,5
728,emotion,3
729,response_behaviour,4
729,reading,4
729,working_memory,5
729,processing_speed,4
729,math_fluency,5
729,long_term_memory,5
729,reasoning,5
729,calculus,5
731,response_behaviour,3
731,reading,2
731,working_memory,5
731,processing_speed,3
731,math_fluency,3
731,reasoning,5
731,calculus,3
731,emotion,2
733,response_behaviour,4
733,working_memory,5
733,processing_speed,3
733,math_fluency,4
733,long_term_memory,5
733,reasoning,3
733,calculus,4
733,emotion,2
734,response_behaviour,4
734,reading,5
734,working_memory,5
734,processing_speed,3
734,math_fluency,3
734,long_term_memory,5
734,reasoning,3
734,calculus,4
736,response_behaviour,4
736,reading,3
736,working_memory,5
736,processing_speed,2
736,long_term_memory,5
736,reasoning,3
736,calculus,3
736,emotion,2
737,response_behaviour,4
737,reading,4
737,working_memory,5
737,processing_speed,4
737,math_fluency,2
737,long_term_memory,5
737,reasoning,2
737,calculus,1
739,response_behaviour,3
739,reading,3
739,working_memory,5
739,processing_speed,4
739,math_fluency,5
739,reasoning,4
739,calculus,5
739,emotion,4
740,response_behaviour,4
740,reading,3
740,working_memory,5
740,processing_speed,1
740,math_fluency,4
740,long_term_memory,5
740,reasoning,4
740,calculus,4
741,response_behaviour,4
741,reading,5
741,working_memory,5
741,processing_speed,5
741,math_fluency,5
741,long_term_memory,5
741,calculus,3
741,emotion,4
742,response_behaviour,3
742,reading,3
742,working_memory,5
742,processing_speed,2
742,math_fluency,3
742,long_term_memory,5
742,calculus,4
742,emotion,3
748,response_behaviour,4
748,reading,2
748,processing_speed,2
748,math_fluency,2
748,long_term_memory,5
748,reasoning,3
748,calculus,1
748,emotion,1
749,response_behaviour,4
749,reading,2
749,working_memory,5
749,processing_speed,2
749,math_fluency,2
749,long_term_memory,5
749,calculus,1
749,emotion,1
750,response_behaviour,4
750,reading,3
750,processing_speed,4
750,math_fluency,3
750,long_term_memory,5
750,reasoning,4
750,calculus,5
750,emotion,1
751,response_behaviour,4
751,reading,5
751,working_memory,5
751,processing_speed,5
751,math_fluency,3
751,long_term_memory,5
751,reasoning,5
751,emotion,1
756,response_behaviour,4
756,reading,1
756,working_memory,5
756,math_fluency,1
756,long_term_memory,5
756,reasoning,3
756,calculus,2
756,emotion,1
757,response_behaviour,4
757,reading,4
757,working_memory,5
757,processing_speed,5
757,math_fluency,5
757,long_term_memory,5
757,reasoning,4
757,emotion,1
758,response_behaviour,4
758,working_memory,5
758,processing_speed,1
758,math_fluency,1
758,long_term_memory,5
758,reasoning,4
758,calculus,4
758,emotion,1
760,response_behaviour,4
760,reading,5
760,working_memory,5
760,processing_speed,4
760,math_fluency,2
760,long_term_memory,5
760,reasoning,5
760,emotion,1
761,response_behaviour,4
761,reading,5
761,processing_speed,5
761,math_fluency,4
761,long_term_memory,5
761,reasoning,5
761,calculus,1
761,emotion,1
766,response_behaviour,4
766,reading,4
766,working_memory,5
766,processing_speed,2
766,math_fluency,4
766,long_term_memory,5
766,reasoning,2
766,emotion,2
767,response_behaviour,4
767,reading,4
767,working_memory,5
767,processing_speed,2
767,long_term_memory,5
767,reasoning,4
767,calculus,4
767,emotion,2
768,response_behaviour,3
768,reading,2
768,working_memory,5
768,processing_speed,2
768,math_fluency,1
768,long_term_memory,5
768,reasoning,4
768,calculus,4
769,reading,2
769,working_memory,5
769,processing_speed,3
769,math_fluency,2
769,long_term_memory,5
769,reasoning,4
769,calculus,1
769,emotion,1
770,response_behaviour,4
770,reading,4
770,processing_speed,2
770,math_fluency,3
770,long_term_memory,5
770,reasoning,3
770,calculus,3
770,emotion,4
771,response_behaviour,3
771,reading,4
771,processing_speed,3
771,math_fluency,4
771,long_term_memory,5
771,reasoning,5
771,calculus,5
771,emotion,4
772,response_behaviour,4
772,reading,3
772,working_memory,5
772,math_fluency,1
772,long_term_memory,5
772,reasoning,4
772,calculus,3
772,emotion,3
773,response_behaviour,3
773,reading,4
773,working_memory,5
773,processing_speed,5
773,math_fluency,4
773,long_term_memory,5
773,reasoning,5
773,emotion,4
774,response_behaviour,3
774,reading,5
774,working_memory,5
774,processing_speed,3
774,math_fluency,4
774,reasoning,3
774,calculus,4
774,emotion,2
775,response_behaviour,3
775,reading,4
775,working_memory,5
775,processing_speed,3
775,math_fluency,3
775,reasoning,3
775,calculus,3
775,emotion,4
776,reading,5
776,working_memory,5
776,processing_speed,4
776,math_fluency,4
776,long_term_memory,5
776,reasoning,3
776,calculus,4
776,emotion,4
777,response_behaviour,3
777,reading,4
777,working_memory,5
777,math_fluency,5
777,long_term_memory,5
777,reasoning,4
777,calculus,4
777,emotion,4
778,reading,5
778,working_memory,5
778,processing_speed,3
778,math_fluency,5
778,long_term_memory,5
778,reasoning,2
778,calculus,5
778,emotion,3
779,response_behaviour,3
779,reading,5
779,working_memory,5
779,processing_speed,5
779,math_fluency,5
779,reasoning,5
779,calculus,5
779,emotion,4
780,reading,5
780,working_memory,5
780,processing_speed,5
780,math_fluency,2
780,long_term_memory,5
780,reasoning,3
780,calculus,4
780,emotion,4
781,response_behaviour,4
781,reading,3
781,working_memory,5
781,processing_speed,4
781,long_term_memory,5
781,reasoning,4
781,calculus,3
781,emotion,4
782,response_behaviour,3
782,reading,3
782,working_memory,5
782,processing_speed,4
782,math_fluency,3
782,reasoning,3
782,calculus,3
782,emotion,4
783,response_behaviour,3
783,reading,5
783,working_memory,5
783,math_fluency,3
783,long_term_memory,5
783,reasoning,5
783,calculus,5
783,emotion,3
784,response_behaviour,4
784,reading,3
784,working_memory,5
784,processing_speed,1
784,math_fluency,4
784,long_term_memory,3
784,calculus,4
784,emotion,3
785,response_behaviour,3
785,reading,5
785,working_memory,5
785,processing_speed,3
785,math_fluency,4
785,reasoning,3
785,calculus,5
785,emotion,4
786,reading,5
786,working_memory,5
786,processing_speed,3
786,math_fluency,3
786,long_term_memory,5
786,reasoning,4
786,calculus,3
786,emotion,4
787,response_behaviour,4
787,reading,4
787,working_memory,5
787,processing_speed,4
787,math_fluency,4
787,long_term_memory,5
787,reasoning,2
787,calculus,4
788,response_behaviour,4
788,reading,2
788,working_memory,5
788,processing_speed,1
788,math_fluency,1
788,reasoning,3
788,calculus,1
788,emotion,4
789,response_behaviour,3
789,reading,5
789,working_memory,5
789,processing_speed,3
789,math_fluency,4
789,reasoning,5
789,calculus,4
789,emotion,5
790,response_behaviour,4
790,working_memory,5
790,processing_speed,3
790,math_fluency,1
790,long_term_memory,5
790,reasoning,3
790,calculus,1
790,emotion,1
791,response_behaviour,3
791,reading,4
791,working_memory,5
791,processing_speed,4
791,math_fluency,5
791,long_term_memory,5
791,calculus,5
791,emotion,5
792,response_behaviour,4
792,reading,4
792,working_memory,5
792,processing_speed,2
792,math_fluency,2
792,long_term_memory,5
792,calculus,3
792,emotion,2
793,reading,1
793,working_memory,5
793,processing_speed,2
793,math_fluency,2
793,long_term_memory,5
793,reasoning,1
793,calculus,2
793,emotion,3
794,response_behaviour,3
794,reading,2
794,working_memory,5
794,math_fluency,2
794,long_term_memory,3
794,reasoning,3
794,calculus,3
794,emotion,1
795,response_behaviour,4
795,reading,4
795,working_memory,5
795,processing_speed,2
795,math_fluency,4
795,long_term_memory,4
795,reasoning,2
795,emotion,4
796,response_behaviour,4
796,reading,3
796,working_memory,5
796,processing_speed,1
796,math_fluency,1
796,reasoning,3
796,calculus,1
796,emotion,2
797,response_behaviour,3
797,reading,5
797,processing_speed,4
797,math_fluency,5
797,long_term_memory,5
797,reasoning,4
797,calculus,5
797,emotion,4
798,response_behaviour,3
798,working_memory,5
798,processing_speed,2
798,math_fluency,2
798,long_term_memory,5
798,reasoning,3
798,calculus,3
798,emotion,4
799,response_behaviour,4
799,working_memory,5
799,processing_speed,4
799,math_fluency,1
799,long_term_memory,5
799,reasoning,4
799,calculus,3
799,emotion,2
800,response_behaviour,3
800,reading,3
800,working_memory,5
800,processing_speed,3
800,long_term_memory,5
800,reasoning,4
800,calculus,4
800,emotion,3
801,response_behaviour,3
801,reading,4
801,working_memory,5
801,processing_speed,3
801,math_fluency,3
801,reasoning,3
801,calculus,3
801,emotion,5
802,response_behaviour,4
802,reading,1
802,working_memory,5
802,processing_speed,1
802,math_fluency,2
802,long_term_memory,5
802,reasoning,3
802,calculus,3
803,response_behaviour,4
803,reading,5
803,working_memory,5
803,processing_speed,4
803,math_fluency,5
803,reasoning,4
803,calculus,4
803,emotion,3
804,response_behaviour,4
804,reading,5
804,working_memory,5
804,processing_speed,4
804,math_fluency,4
804,long_term_memory,5
804,calculus,3
804,emotion,2
805,response_behaviour,4
805,reading,3
805,working_memory,5
805,processing_speed,3
805,math_fluency,2
805,long_term_memory,5
805,reasoning,4
805,emotion,3
806,response_behaviour,4
806,reading,3
806,working_memory,5
806,processing_speed,5
806,math_fluency,3
806,long_term_memory,5
806,calculus,5
806,emotion,5
807,response_behaviour,3
807,reading,1
807,processing_speed,1
807,math_fluency,3
807,long_term_memory,5
807,reasoning,5
807,calculus,4
807,emotion,1
808,response_behaviour,4
808,reading,5
808,working_memory,5
808,processing_speed,1
808,math_fluency,5
808,long_term_memory,5
808,reasoning,2
808,emotion,2
809,response_behaviour,4
809,reading,3
809,working_memory,5
809,processing_speed,3
809,math_fluency,4
809,long_term_memory,3
809,reasoning,1
809,emotion,1
810,response_behaviour,5
810,reading,1
810,working_memory,1
810,processing_speed,1
810,math_fluency,1
810,long_term_memory,5
810,reasoning,1
810,calculus,1
811,response_behaviour,3
811,reading,3
811,working_memory,5
811,processing_speed,2
811,math_fluency,2
811,long_term_memory,5
811,reasoning,3
811,emotion,3
812,response_behaviour,4
812,reading,4
812,working_memory,5
812,processing_speed,3
812,math_fluency,1
812,long_term_memory,5
812,calculus,4
812,emotion,1
813,response_behaviour,4
813,reading,3
813,working_memory,5
813,processing_speed,2
813,math_fluency,2
813,reasoning,4
813,calculus,3
813,emotion,2
814,response_behaviour,3
814,reading,3
814,working_memory,5
814,processing_speed,3
814,math_fluency,5
814,long_term_memory,5
814,reasoning,4
814,emotion,2
815,response_behaviour,3
815,reading,5
815,processing_speed,3
815,math_fluency,4
815,long_term_memory,4
815,reasoning,4
815,calculus,4
815,emotion,4
816,response_behaviour,3
816,reading,4
816,working_memory,5
816,processing_speed,4
816,long_term_memory,5
816,reasoning,3
816,calculus,3
816,emotion,2
817,response_behaviour,4
817,reading,2
817,working_memory,5
817,processing_speed,2
817,math_fluency,2
817,reasoning,3
817,calculus,4
817,emotion,3
818,response_behaviour,3
818,reading,3
818,working_memory,5
818,math_fluency,2
818,long_term_memory,5
818,reasoning,3
818,calculus,3
818,emotion,2
819,reading,5
819,working_memory,5
819,processing_speed,5
819,math_fluency,5
819,long_term_memory,5
819,reasoning,5
819,calculus,5
819,emotion,5
820,response_behaviour,3
820,reading,5
820,working_memory,5
820,processing_speed,4
820,math_fluency,5
820,long_term_memory,5
820,reasoning,4
820,emotion,4
821,response_behaviour,4
821,reading,2
821,working_memory,5
821,processing_speed,2
821,long_term_memory,2
821,reasoning,2
821,calculus,3
821,emotion,1
822,response_behaviour,4
822,reading,2
822,working_memory,5
822,processing_speed,1
822,math_fluency,2
822,reasoning,4
822,calculus,4
822,emotion,2
823,response_behaviour,3
823,working_memory,5
823,processing_speed,3
823,math_fluency,5
823,long_term_memory,5
823,reasoning,4
823,calculus,5
823,emotion,3
824,response_behaviour,4
824,reading,4
824,working_memory,5
824,processing_speed,2
824,long_term_memory,5
824,reasoning,1
824,calculus,4
824,emotion,2
825,response_behaviour,3
825,reading,4
825,working_memory,5
825,processing_speed,4
825,math_fluency,4
825,long_term_memory,5
825,calculus,3
825,emotion,4
826,response_behaviour,3
826,reading,5
826,working_memory,5
826,processing_speed,5
826,math_fluency,4
826,long_term_memory,5
826,calculus,4
826,emotion,3
827,response_behaviour,3
827,reading,1
827,working_memory,4
827,processing_speed,3
827,math_fluency,1
827,long_term_memory,5
827,calculus,1
827,emotion,1
828,reading,1
828,working_memory,5
828,processing_speed,1
828,math_fluency,1
828,long_term_memory,5
828,reasoning,1
828,calculus,1
828,emotion,1
829,response_behaviour,5
829,working_memory,1
829,processing_speed,1
829,math_fluency,1
829,long_term_memory,3
829,reasoning,1
829,calculus,1
829,emotion,1
830,response_behaviour,4
830,reading,2
830,working_memory,5
830,processing_speed,3
830,math_fluency,2
830,long_term_memory,5
830,reasoning,4
830,emotion,3
831,reading,2
831,working_memory,5
831,processing_speed,2
831,math_fluency,4
831,long_term_memory,5
831,reasoning,4
831,calculus,5
831,emotion,3
832,response_behaviour,4
832,reading,2
832,working_memory,5
832,processing_speed,2
832,math_fluency,2
832,reasoning,4
832,calculus,4
832,emotion,1
833,reading,4
833,working_memory,5
833,processing_speed,5
833,math_fluency,3
833,long_term_memory,5
833,reasoning,1
833,calculus,4
833,emotion,2
834,reading,1
834,working_memory,5
834,processing_speed,2
834,math_fluency,2
834,long_term_memory,4
834,reasoning,1
834,calculus,2
834,emotion,1
835,response_behaviour,3
835,reading,5
835,working_memory,5
835,processing_speed,3
835,math_fluency,5
835,long_term_memory,1
835,reasoning,3
835,emotion,3
836,response_behaviour,3
836,reading,3
836,working_memory,5
836,processing_speed,2
836,math_fluency,2
836,long_term_memory,5
836,calculus,4
836,emotion,2
838,response_behaviour,4
838,working_memory,5
838,processing_speed,3
838,math_fluency,2
838,long_term_memory,5
838,reasoning,3
838,calculus,3
838,emotion,1
839,response_behaviour,4
839,reading,2
839,working_memory,5
839,processing_speed,2
839,math_fluency,3
839,long_term_memory,4
839,calculus,4
839,emotion,2
840,reading,4
840,working_memory,5
840,processing_speed,5
840,math_fluency,4
840,long_term_memory,5
840,reasoning,4
840,calculus,2
840,emotion,3
841,response_behaviour,3
841,reading,3
841,working_memory,5
841,processing_speed,3
841,long_term_memory,5
841,reasoning,4
841,calculus,3
841,emotion,2
842,reading,5
842,working_memory,5
842,processing_speed,3
842,math_fluency,5
842,long_term_memory,5
842,reasoning,3
842,calculus,5
842,emotion,5
843,response_behaviour,4
843,reading,4
843,working_memory,5
843,processing_speed,5
843,math_fluency,5
843,long_term_memory,5
843,calculus,4
843,emotion,3
844,response_behaviour,3
844,working_memory,5
844,processing_speed,4
844,math_fluency,3
844,long_term_memory,5
844,reasoning,4
844,calculus,3
844,emotion,1
845,response_behaviour,3
845,reading,4
845,working_memory,5
845,processing_speed,4
845,math_fluency,5
845,long_term_memory,5
845,reasoning,4
845,calculus,5
846,response_behaviour,3
846,reading,3
846,working_memory,5
846,processing_speed,4
846,math_fluency,5
846,reasoning,5
846,calculus,5
846,emotion,3
847,response_behaviour,3
847,working_memory,5
847,processing_speed,3
847,math_fluency,3
847,long_term_memory,5
847,reasoning,4
847,calculus,3
847,emotion,1
848,response_behaviour,3
848,reading,4
848,working_memory,5
848,math_fluency,2
848,long_term_memory,5
848,reasoning,2
848,calculus,1
848,emotion,1
849,response_behaviour,3
849,reading,1
849,working_memory,5
849,math_fluency,1
849,long_term_memory,3
849,reasoning,3
849,calculus,1
849,emotion,1
850,response_behaviour,4
850,reading,2
850,working_memory,5
850,processing_speed,5
850,math_fluency,1
850,long_term_memory,3
850,reasoning,3
850,calculus,2
851,response_behaviour,3
851,working_memory,5
851,processing_speed,5
851,math_fluency,5
851,long_term_memory,1
851,reasoning,5
851,calculus,5
851,emotion,4
853,response_behaviour,3
853,reading,3
853,working_memory,5
853,processing_speed,2
853,math_fluency,2
853,long_term_memory,5
853,reasoning,4
853,calculus,3
854,reading,1
854,working_memory,5
854,processing_speed,2
854,math_fluency,1
854,long_term_memory,5
854,reasoning,2
854,calculus,1
854,emotion,2
855,reading,3
855,working_memory,5
855,processing_speed,2
855,math_fluency,1
855,long_term_memory,5
855,reasoning,4
855,calculus,3
855,emotion,1
856,response_behaviour,3
856,reading,3
856,working_memory,5
856,math_fluency,5
856,long_term_memory,5
856,reasoning,4
856,calculus,4
856,emotion,1
857,response_behaviour,3
857,reading,2
857,working_memory,4
857,processing_speed,3
857,math_fluency,4
857,reasoning,3
857,calculus,3
857,emotion,1
858,response_behaviour,4
858,working_memory,5
858,processing_speed,3
858,math_fluency,5
858,long_term_memory,5
858,reasoning,2
858,calculus,4
858,emotion,2
859,response_behaviour,3
859,reading,2
859,working_memory,5
859,math_fluency,3
859,long_term_memory,5
859,reasoning,3
859,calculus,3
859,emotion,3
861,response_behaviour,4
861,reading,3
861,working_memory,5
861,math_fluency,3
861,long_term_memory,5
861,reasoning,4
861,calculus,3
861,emotion,2
862,reading,4
862,working_memory,5
862,processing_speed,3
862,math_fluency,3
862,long_term_memory,4
862,reasoning,3
862,calculus,4
862,emotion,1
863,response_behaviour,3
863,reading,5
863,working_memory,5
863,processing_speed,5
863,math_fluency,2
863,reasoning,4
863,calculus,3
863,emotion,3
864,response_behaviour,3
864,reading,5
864,processing_speed,5
864,math_fluency,5
864,long_term_memory,5
864,reasoning,4
864,calculus,5
864,emotion,4
865,response_behaviour,3
865,reading,2
865,working_memory,5
865,processing_speed,1
865,math_fluency,3
865,long_term_memory,5
865,calculus,1
865,emotion,2
866,reading,3
866,working_memory,5
866,processing_speed,4
866,math_fluency,3
866,long_term_memory,3
866,reasoning,3
866,calculus,2
866,emotion,1
867,response_behaviour,3
867,working_memory,5
867,processing_speed,4
867,math_fluency,3
867,long_term_memory,5
867,reasoning,4
867,calculus,3
867,emotion,2
868,response_behaviour,3
868,reading,1
868,working_memory,5
868,math_fluency,3
868,long_term_memory,5
868,reasoning,3
868,calculus,3
868,emotion,1
869,response_behaviour,4
869,reading,3
869,working_memory,5
869,processing_speed,2
869,math_fluency,3
869,reasoning,3
869,calculus,3
869,emotion,3
870,response_behaviour,3
870,reading,4
870,working_memory,5
870,processing_speed,5
870,math_fluency,3
870,long_term_memory,5
870,reasoning,4
870,calculus,3
871,response_behaviour,3
871,working_memory,5
871,processing_speed,4
871,math_fluency,5
871,long_term_memory,5
871,reasoning,2
871,calculus,5
871,emotion,1
872,reading,3
872,working_memory,5
872,processing_speed,5
872,math_fluency,2
872,long_term_memory,5
872,reasoning,4
872,calculus,1
872,emotion,1
873,response_behaviour,3
873,reading,3
873,working_memory,5
873,processing_speed,3
873,math_fluency,3
873,long_term_memory,5
873,reasoning,3
873,emotion,3
874,response_behaviour,4
874,reading,1
874,working_memory,5
874,processing_speed,3
874,long_term_memory,4
874,reasoning,2
874,calculus,2
874,emotion,4
875,response_behaviour,3
875,reading,4
875,working_memory,5
875,math_fluency,2
875,long_term_memory,4
875,reasoning,3
875,calculus,3
875,emotion,4
876,response_behaviour,4
876,reading,2
876,working_memory,5
876,processing_speed,2
876,long_term_memory,2
876,reasoning,2
876,calculus,1
876,emotion,1
877,response_behaviour,4
877,reading,1
877,working_memory,5
877,math_fluency,1
877,long_term_memory,5
877,reasoning,1
877,calculus,1
877,emotion,1
878,response_behaviour,3
878,reading,2
878,working_memory,5
878,processing_speed,3
878,math_fluency,2
878,long_term_memory,5
878,reasoning,4
878,emotion,2
879,response_behaviour,4
879,reading,3
879,working_memory,5
879,processing_speed,3
879,math_fluency,5
879,long_term_memory,5
879,reasoning,1
879,emotion,3
880,response_behaviour,3
880,reading,3
880,working_memory,5
880,processing_speed,4
880,math_fluency,1
880,long_term_memory,5
880,calculus,3
880,emotion,4
881,response_behaviour,4
881,reading,3
881,working_memory,5
881,processing_speed,1
881,long_term_memory,4
881,reasoning,3
881,calculus,3
881,emotion,1
882,response_behaviour,4
882,reading,1
882,working_memory,5
882,processing_speed,4
882,math_fluency,4
882,long_term_memory,4
882,reasoning,3
882,calculus,2
883,response_behaviour,3
883,reading,4
883,working_memory,5
883,math_fluency,5
883,long_term_memory,5
883,reasoning,4
883,calculus,5
883,emotion,1
884,response_behaviour,3
884,reading,3
884,working_memory,5
884,processing_speed,4
884,math_fluency,4
884,reasoning,4
884,calculus,5
884,emotion,3
885,response_behaviour,3
885,reading,4
885,working_memory,5
885,processing_speed,4
885,math_fluency,4
885,long_term_memory,5
885,calculus,5
885,emotion,3
886,response_behaviour,3
886,reading,2
886,working_memory,5
886,processing_speed,2
886,math_fluency,2
886,long_term_memory,1
886,reasoning,4
886,emotion,1
887,response_behaviour,4
887,working_memory,5
887,processing_speed,1
887,math_fluency,1
887,long_term_memory,3
887,reasoning,1
887,calculus,1
887,emotion,1
888,response_behaviour,3
888,reading,3
888,working_memory,5
888,processing_speed,3
888,math_fluency,3
888,long_term_memory,5
888,calculus,2
888,emotion,1
889,response_behaviour,4
889,reading,1
889,working_memory,5
889,math_fluency,2
889,long_term_memory,5
889,reasoning,1
889,calculus,1
889,emotion,2
890,response_behaviour,3
890,reading,3
890,working_memory,5
890,processing_speed,5
890,long_term_memory,5
890,reasoning,4
890,calculus,2
890,emotion,3
891,response_behaviour,3
891,reading,4
891,working_memory,5
891,processing_speed,4
891,math_fluency,4
891,long_term_memory,5
891,reasoning,4
891,emotion,3
892,response_behaviour,3
892,reading,2
892,working_memory,5
892,processing_speed,3
892,long_term_memory,4
892,reasoning,1
892,calculus,1
892,emotion,1
893,response_behaviour,4
893,reading,2
893,processing_speed,3
893,math_fluency,1
893,long_term_memory,5
893,reasoning,3
893,calculus,2
893,emotion,1
894,response_behaviour,3
894,working_memory,5
894,processing_speed,4
894,math_fluency,5
894,long_term_memory,5
894,reasoning,4
894,calculus,3
894,emotion,3
896,response_behaviour,3
896,working_memory,5
896,processing_speed,3
896,math_fluency,1
896,long_term_memory,5
896,reasoning,2
896,calculus,1
896,emotion,2
897,response_behaviour,3
897,reading,3
897,working_memory,5
897,processing_speed,4
897,long_term_memory,5
897,reasoning,4
897,calculus,2
897,emotion,3
898,response_behaviour,4
898,reading,1
898,working_memory,5
898,processing_speed,1
898,math_fluency,4
898,reasoning,2
898,calculus,5
898,emotion,4
899,response_behaviour,5
899,reading,1
899,working_memory,4
899,processing_speed,1
899,math_fluency,1
899,reasoning,1
899,calculus,1
899,emotion,1
